product_id,brand,name,size,english_name,chinese_name,categories,url
4406663,Hong Kong Dim Sim Kitchen,Pork & Chive Dumplings,300g,Hong Kong Dim Sim Kitchen Pork & Chive Dumplings 300g,猪肉,dietary-world-foods; frozen,https://www.coles.com.au/product/hong-kong-dim-sim-kitchen-pork-chive-dumplings-300g-4406663
5292231,Hong Kong Dim Sim Kitchen,Pork Dim Sims,480g,Hong Kong Dim Sim Kitchen Pork Dim Sims 480g,猪肉,dietary-world-foods; frozen,https://www.coles.com.au/product/hong-kong-dim-sim-kitchen-pork-dim-sims-480g-5292231
4406674,Hong Kong Dim Sim Kitchen,Pork Prawn & Mushroom Siu Mai,300g,Hong Kong Dim Sim Kitchen Pork Prawn & Mushroom Siu Mai 300g,猪肉蘑菇,dietary-world-foods; frozen,https://www.coles.com.au/product/hong-kong-dim-sim-kitchen-pork-prawn-mushroom-siu-mai-300g-4406674
9020528,Imei,Green Onion Pancake,525g,Imei Green Onion Pancake 525g,洋葱,dietary-world-foods; frozen,https://www.coles.com.au/product/imei-green-onion-pancake-525g-9020528
8775388,Imuraya Taiyaki,Sandwich Ice Cream,300ML,Imuraya Taiyaki Sandwich Ice Cream 300ML,冰淇淋,dietary-world-foods; frozen,https://www.coles.com.au/product/imuraya-taiyaki-sandwich-ice-cream-300ml-8775388
5489247,Juicies,Tropical 10 Pack,1L,Juicies Tropical 10 Pack 1L,,dietary-world-foods; frozen,https://www.coles.com.au/product/juicies-tropical-10-pack-1l-5489247
4406007,KB's,Pork Gyoza,750g,KB's Pork Gyoza 750g,猪肉,dietary-world-foods; frozen,https://www.coles.com.au/product/kb-s-pork-gyoza-750g-4406007
6521673,KB's,Pork Soup Dumplings,750g,KB's Pork Soup Dumplings 750g,猪肉,dietary-world-foods; frozen,https://www.coles.com.au/product/kb-s-pork-soup-dumplings-750g-6521673
8968927,KB's,Prawn & Chive Wontons,750g,KB's Prawn & Chive Wontons 750g,,dietary-world-foods; frozen,https://www.coles.com.au/product/kb-s-prawn-chive-wontons-750g-8968927
1548719,KB's,Prawn Gyoza,750g,KB's Prawn Gyoza 750g,,dietary-world-foods; frozen,https://www.coles.com.au/product/kb-s-prawn-gyoza-750g-1548719
3051074,KB's,Prawn Hargow Dumplings,750g,KB's Prawn Hargow Dumplings 750g,,dietary-world-foods; frozen,https://www.coles.com.au/product/kb-s-prawn-hargow-dumplings-750g-3051074
2815151,KB's,Vegetable Gyoza,750g,KB's Vegetable Gyoza 750g,,dietary-world-foods; frozen,https://www.coles.com.au/product/kb-s-vegetable-gyoza-750g-2815151
3785635,Katoomba,Garlic Naan 4 Pack,320g,Katoomba Garlic Naan 4 Pack 320g,,dietary-world-foods; frozen,https://www.coles.com.au/product/katoomba-garlic-naan-4-pack-320g-3785635
7551920,Katoomba,Original Roti Bread,975g,Katoomba Original Roti Bread 975g,面包,dietary-world-foods; frozen,https://www.coles.com.au/product/katoomba-original-roti-bread-975g-7551920
9086300,Katoomba,Roti Bread Plain,390g,Katoomba Roti Bread Plain 390g,面包,dietary-world-foods; frozen,https://www.coles.com.au/product/katoomba-roti-bread-plain-390g-9086300
7552264,Katoomba,Wholemeal Roti Bread 15 Pack,975g,Katoomba Wholemeal Roti Bread 15 Pack 975g,面包,dietary-world-foods; frozen,https://www.coles.com.au/product/katoomba-wholemeal-roti-bread-15-pack-975g-7552264
3783673,Kawan,Plain Paratha,1.2kg,Kawan Plain Paratha 1.2kg,,dietary-world-foods; frozen,https://www.coles.com.au/product/kawan-plain-paratha-1-2kg-3783673
4317199,King Of Kings,Gua Bao Bun,560g,King Of Kings Gua Bao Bun 560g,,dietary-world-foods; frozen,https://www.coles.com.au/product/king-of-kings-gua-bao-bun-560g-4317199
5300646,King Of Kings,Peking Duck Pastry,130g,King Of Kings Peking Duck Pastry 130g,,dietary-world-foods; frozen,https://www.coles.com.au/product/king-of-kings-peking-duck-pastry-130g-5300646
4317224,King Of Kings,Roasted BBQ Pork Bun,380g,King Of Kings Roasted BBQ Pork Bun 380g,猪肉,dietary-world-foods; frozen,https://www.coles.com.au/product/king-of-kings-roasted-bbq-pork-bun-380g-4317224
8420940,Kori,Ice Cream Dassai Sake,480mL,Kori Ice Cream Dassai Sake 480mL,冰淇淋,dietary-world-foods; frozen,https://www.coles.com.au/product/kori-ice-cream-dassai-sake-480ml-8420940
8421013,Kori,Ice Cream Hokkaido Cheesecake,480mL,Kori Ice Cream Hokkaido Cheesecake 480mL,冰淇淋,dietary-world-foods; frozen,https://www.coles.com.au/product/kori-ice-cream-hokkaido-cheesecake-480ml-8421013
8421024,Kori,Ice Cream Mango Kinako,480mL,Kori Ice Cream Mango Kinako 480mL,冰淇淋,dietary-world-foods; frozen,https://www.coles.com.au/product/kori-ice-cream-mango-kinako-480ml-8421024
8421079,Kori,Ice Cream Matcha Pistachio,480mL,Kori Ice Cream Matcha Pistachio 480mL,冰淇淋,dietary-world-foods; frozen,https://www.coles.com.au/product/kori-ice-cream-matcha-pistachio-480ml-8421079
8421137,Kori,Ice Cream Milky Peko Chan,480mL,Kori Ice Cream Milky Peko Chan 480mL,冰淇淋,dietary-world-foods; frozen,https://www.coles.com.au/product/kori-ice-cream-milky-peko-chan-480ml-8421137
8420360,Kori,Sorbet Fuji Apple,480mL,Kori Sorbet Fuji Apple 480mL,苹果,dietary-world-foods; frozen,https://www.coles.com.au/product/kori-sorbet-fuji-apple-480ml-8420360
8421159,Kori,Sorbet Strawberry Sudachi,480mL,Kori Sorbet Strawberry Sudachi 480mL,草莓,dietary-world-foods; frozen,https://www.coles.com.au/product/kori-sorbet-strawberry-sudachi-480ml-8421159
8421181,Kori,Sorbet Yuzu,480mL,Kori Sorbet Yuzu 480mL,,dietary-world-foods; frozen,https://www.coles.com.au/product/kori-sorbet-yuzu-480ml-8421181
3867183,Lean Cuisine,Thai Red Chicken Curry With Rice,375g,Lean Cuisine Thai Red Chicken Curry With Rice 375g,鸡肉大米,dietary-world-foods; frozen,https://www.coles.com.au/product/lean-cuisine-thai-red-chicken-curry-with-rice-375g-3867183
8400487,Little Moons,Golden Blond Chocolate Mochi Bites 6 Pack,192g,Little Moons Golden Blond Chocolate Mochi Bites 6 Pack 192g,巧克力,dietary-world-foods; frozen,https://www.coles.com.au/product/little-moons-golden-blond-chocolate-mochi-bites-6-pack-192g-8400487
8400374,Little Moons,Honey Roasted Pistachio Frozen Dessert Mochi,192g,Little Moons Honey Roasted Pistachio Frozen Dessert Mochi 192g,冷冻,dietary-world-foods; frozen,https://www.coles.com.au/product/little-moons-honey-roasted-pistachio-frozen-dessert-mochi-192g-8400374
8400454,Little Moons,Vegan Tropical Passionfruit & Mango Frozen Dessert Mochi,192g,Little Moons Vegan Tropical Passionfruit & Mango Frozen Dessert Mochi 192g,冷冻,dietary-world-foods; frozen,https://www.coles.com.au/product/little-moons-vegan-tropical-passionfruit-mango-frozen-dessert-mochi-192g-8400454
5978334,Mai Hong,Frozen Spring Roll Pastry Sheets 20 Pack,250g,Mai Hong Frozen Spring Roll Pastry Sheets 20 Pack 250g,冷冻,dietary-world-foods; frozen,https://www.coles.com.au/product/mai-hong-frozen-spring-roll-pastry-sheets-20-pack-250g-5978334
8778218,Marlo,Rich Matcha Bars 8 Pack,240mL,Marlo Rich Matcha Bars 8 Pack 240mL,,dietary-world-foods; frozen,https://www.coles.com.au/product/marlo-rich-matcha-bars-8-pack-240ml-8778218
428154,McCain,Frozen Corn Kernels,500g,McCain Frozen Corn Kernels 500g,冷冻,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-frozen-corn-kernels-500g-428154
3412478,McCain,Frozen Onion Rings,500g,McCain Frozen Onion Rings 500g,冷冻洋葱,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-frozen-onion-rings-500g-3412478
338856,McCain,Frozen Peas,500g,McCain Frozen Peas 500g,冷冻,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-frozen-peas-500g-338856
2944154,McCain,Pub Size Bangers & Mash,500g,McCain Pub Size Bangers & Mash 500g,,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-pub-size-bangers-mash-500g-2944154
2944176,McCain,Pub Size Chicken & Bacon Bake,480g,McCain Pub Size Chicken & Bacon Bake 480g,鸡肉培根,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-pub-size-chicken-bacon-bake-480g-2944176
2944165,McCain,Pub Size Chicken Kiev,480g,McCain Pub Size Chicken Kiev 480g,鸡肉,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-pub-size-chicken-kiev-480g-2944165
412799,McCain,Red Box Tray Lasagna,400g,McCain Red Box Tray Lasagna 400g,,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-red-box-tray-lasagna-400g-412799
6522552,McCain,Red Box Tray Tuna Mornay,400g,McCain Red Box Tray Tuna Mornay 400g,金枪鱼,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-red-box-tray-tuna-mornay-400g-6522552
5066946,McCain,Superfries Frozen Potato Chips Crinkle Cut,900g,McCain Superfries Frozen Potato Chips Crinkle Cut 900g,冷冻土豆薯片,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-superfries-frozen-potato-chips-crinkle-cut-900g-5066946
476022,McCain,Superfries Frozen Potato Chips Shoestring,900g,McCain Superfries Frozen Potato Chips Shoestring 900g,冷冻土豆薯片,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-superfries-frozen-potato-chips-shoestring-900g-476022
4204341,McCain,Superfries Frozen Potato Chips Steak Cut,900g,McCain Superfries Frozen Potato Chips Steak Cut 900g,冷冻土豆薯片,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-superfries-frozen-potato-chips-steak-cut-900g-4204341
91710,McCain,Superfries Frozen Potato Chips Straight Cut,900g,McCain Superfries Frozen Potato Chips Straight Cut 900g,冷冻土豆薯片,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-superfries-frozen-potato-chips-straight-cut-900g-91710
8162491,Mccain,Cauliflower,500g,Mccain Cauliflower 500g,花椰菜,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-cauliflower-500g-8162491
8163847,Mccain,Garden Greens,500g,Mccain Garden Greens 500g,,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-garden-greens-500g-8163847
8161535,Mccain,Garden Peas,1kg,Mccain Garden Peas 1kg,,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-garden-peas-1kg-8161535
8165897,Mccain,Peas & Super Juicy Corn Kernels,500g,Mccain Peas & Super Juicy Corn Kernels 500g,,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-peas-super-juicy-corn-kernels-500g-8165897
8161499,Mccain,Sliced Beans,500g,Mccain Sliced Beans 500g,切片,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-sliced-beans-500g-8161499
8165241,Mccain,Super Juicy Corn Kernels,1kg,Mccain Super Juicy Corn Kernels 1kg,,dietary-world-foods; frozen,https://www.coles.com.au/product/mccain-super-juicy-corn-kernels-1kg-8165241
8921752,Mr Chen's,Favourite Dumplings 16 Pieces,500g,Mr Chen's Favourite Dumplings 16 Pieces 500g,,dietary-world-foods; frozen,https://www.coles.com.au/product/mr-chen-s-favourite-dumplings-16-pieces-500g-8921752
8921402,Mr Chen's,Ginger Prawn Dumplings 15 Pieces,450g,Mr Chen's Ginger Prawn Dumplings 15 Pieces 450g,,dietary-world-foods; frozen,https://www.coles.com.au/product/mr-chen-s-ginger-prawn-dumplings-15-pieces-450g-8921402
6617830,Mr Chen's,Gluten Free Prawn Hargow,204g,Mr Chen's Gluten Free Prawn Hargow 204g,,dietary-world-foods; frozen,https://www.coles.com.au/product/mr-chen-s-gluten-free-prawn-hargow-204g-6617830
8871880,Mr Chen's,Pork & Chive Dumplings 31 Pieces,550g,Mr Chen's Pork & Chive Dumplings 31 Pieces 550g,猪肉,dietary-world-foods; frozen,https://www.coles.com.au/product/mr-chen-s-pork-chive-dumplings-31-pieces-550g-8871880
8146350,Mr Chens,Gluten Free Pork & Chive Dumplings,200g,Mr Chens Gluten Free Pork & Chive Dumplings 200g,猪肉,dietary-world-foods; frozen,https://www.coles.com.au/product/mr-chens-gluten-free-pork-chive-dumplings-200g-8146350
8778025,Murase Crinkle,Matcha Donut,53g,Murase Crinkle Matcha Donut 53g,,dietary-world-foods; frozen,https://www.coles.com.au/product/murase-crinkle-matcha-donut-53g-8778025
8778047,Murase Crinkle,Plain Donut,53g,Murase Crinkle Plain Donut 53g,,dietary-world-foods; frozen,https://www.coles.com.au/product/murase-crinkle-plain-donut-53g-8778047
7670362,Naked Rivals,100% Frozen Lemon Juice,240g,Naked Rivals 100% Frozen Lemon Juice 240g,冷冻果汁,dietary-world-foods; frozen,https://www.coles.com.au/product/naked-rivals-100-frozen-lemon-juice-240g-7670362
7670420,Naked Rivals,100% Frozen Lime Juice,168g,Naked Rivals 100% Frozen Lime Juice 168g,冷冻果汁,dietary-world-foods; frozen,https://www.coles.com.au/product/naked-rivals-100-frozen-lime-juice-168g-7670420
6617808,New Chinese Garden,Gluten Free Honey Chicken Kit,320g,New Chinese Garden Gluten Free Honey Chicken Kit 320g,鸡肉,dietary-world-foods; frozen,https://www.coles.com.au/product/new-chinese-garden-gluten-free-honey-chicken-kit-320g-6617808
7647983,New Chinese Garden,Gluten Free Sweet & Sour Pork Kit,490g,New Chinese Garden Gluten Free Sweet & Sour Pork Kit 490g,猪肉,dietary-world-foods; frozen,https://www.coles.com.au/product/new-chinese-garden-gluten-free-sweet-sour-pork-kit-490g-7647983
3987844,Oob,Organic Frozen Banana,450g,Oob Organic Frozen Banana 450g,有机冷冻香蕉,dietary-world-foods; frozen,https://www.coles.com.au/product/oob-organic-frozen-banana-450g-3987844
3988654,Oob,Organic Frozen Blueberries,300g,Oob Organic Frozen Blueberries 300g,有机冷冻蓝莓,dietary-world-foods; frozen,https://www.coles.com.au/product/oob-organic-frozen-blueberries-300g-3988654
3988687,Oob,Organic Frozen Mixed Berries,300g,Oob Organic Frozen Mixed Berries 300g,有机冷冻,dietary-world-foods; frozen,https://www.coles.com.au/product/oob-organic-frozen-mixed-berries-300g-3988687
3988676,Oob,Organic Frozen Raspberries,300g,Oob Organic Frozen Raspberries 300g,有机冷冻,dietary-world-foods; frozen,https://www.coles.com.au/product/oob-organic-frozen-raspberries-300g-3988676
3988712,Oob,Organic Frozen Strawberries,300g,Oob Organic Frozen Strawberries 300g,有机冷冻草莓,dietary-world-foods; frozen,https://www.coles.com.au/product/oob-organic-frozen-strawberries-300g-3988712
1549370,Pacific West,Japanese Gyoza,700g,Pacific West Japanese Gyoza 700g,,dietary-world-foods; frozen,https://www.coles.com.au/product/pacific-west-japanese-gyoza-700g-1549370
8593551,Pacific West,Samosas & Puffs 16 Pack,360GRAM,Pacific West Samosas & Puffs 16 Pack 360GRAM,,dietary-world-foods; frozen,https://www.coles.com.au/product/pacific-west-samosas-puffs-16-pack-360gram-8593551
6362730,Pampas,Frozen Butter Puff Pastry 3 Sheets,550g,Pampas Frozen Butter Puff Pastry 3 Sheets 550g,冷冻黄油,dietary-world-foods; frozen,https://www.coles.com.au/product/pampas-frozen-butter-puff-pastry-3-sheets-550g-6362730
295764,Pampas,Frozen Filo Pastry 18 Sheets,375g,Pampas Frozen Filo Pastry 18 Sheets 375g,冷冻,dietary-world-foods; frozen,https://www.coles.com.au/product/pampas-frozen-filo-pastry-18-sheets-375g-295764
